"CVE-1999-0060","Attackers can cause a denial of service in Ascend MAX and Pipeline routers with a malformed packet to the discard port, which is used by the Java Configurator tool.","1998-03-16","2008-09-09","CWE-NVD-Other","(AV:N/AC:L/Au:N/C:N/I:N/A:P)","NETWORK","LOW","NONE","NONE","NONE","PARTIAL",5.0,"MEDIUM",10.0,2.9,0,0,0,0
"CVE-1999-0142","The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developers Kit 1.0 allows an applet to connect to arbitrary hosts.","1996-03-01","2008-09-09","CWE-NVD-Other","(AV:N/AC:L/Au:N/C:P/I:P/A:P)","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",7.5,"HIGH",10.0,6.4,0,1,0,0
"CVE-1999-0440","The byte code verifier component of the Java Virtual Machine (JVM) allows remote execution through malicious web pages.","1999-03-01","2016-10-18","CWE-NVD-Other","(AV:N/AC:L/Au:N/C:P/I:P/A:P)","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",7.5,"HIGH",10.0,6.4,0,0,1,0
"CVE-1999-0766","The Microsoft Java Virtual Machine allows a malicious Java applet to execute arbitrary commands outside of the sandbox environment.","1999-10-21","2008-09-09","CWE-NVD-Other","(AV:N/AC:M/Au:N/C:C/I:C/A:C)","NETWORK","MEDIUM","NONE","COMPLETE","COMPLETE","COMPLETE",9.3,"HIGH",8.6,10.0,1,0,0,1
"CVE-1999-1262","Java in Netscape 4.5 does not properly restrict applets from connecting to other hosts besides the one from which the applet was loaded, which violates the Java security model and could allow remote attackers to conduct unauthorized activities.","1997-08-01","2017-10-10","CWE-NVD-Other","(AV:N/AC:H/Au:N/C:P/I:P/A:P)","NETWORK","HIGH","NONE","PARTIAL","PARTIAL","PARTIAL",5.1,"MEDIUM",4.9,6.4,0,0,1,1
"CVE-1999-1527","Internal HTTP server in Sun Netbeans Java IDE in Netbeans Developer 3.0 Beta and Forte Community Edition 1.0 Beta does not properly restrict access to IP addresses as specified in its configuration, which allows arbitrary remote attackers to access the server.","1999-11-23","2016-10-18","CWE-NVD-Other","(AV:N/AC:L/Au:N/C:P/I:P/A:P)","NETWORK","LOW","NONE","PARTIAL","PARTIAL","PARTIAL",7.5,"HIGH",10.0,6.4,0,0,0,0
"CVE-2000-0132","Microsoft Java Virtual Machine allows remote attackers to read files via the getSystemResourceAsStream function.","2000-01-31","2008-09-10","CWE-NVD-Other","(AV:N/AC:H/Au:N/C:P/I:N/A:N)","NETWORK","HIGH","NONE","PARTIAL","NONE","NONE",2.6,"LOW",4.9,2.9,0,0,0,1
"CVE-2000-0146","The Java Server in the Novell GroupWise Web Access Enhancement Pack allows remote attackers to cause a denial of service via a long URL to the servlet.","2000-02-07","2008-09-10","CWE-NVD-Other","(AV:N/AC:L/Au:N/C:N/I:N/A:P)","NETWORK","LOW","NONE","NONE","NONE","PARTIAL",5.0,"MEDIUM",10.0,2.9,0,0,0,0
"CVE-2000-0162","The Microsoft virtual machine (VM) in Internet Explorer 4.x and 5.x allows a remote attacker to read files via a malicious Java applet that escapes the Java sandbox, aka the ""VM File Reading"" vulnerability.","2000-02-18","2008-09-10","CWE-NVD-Other","(AV:N/AC:H/Au:N/C:P/I:P/A:P)","NETWORK","HIGH","NONE","PARTIAL","PARTIAL","PARTIAL",5.1,"MEDIUM",4.9,6.4,0,0,1,1
"CVE-2000-0237","Netscape Enterprise Server with Web Publishing enabled allows remote attackers to list arbitrary directories via a GET request for the /publisher directory, which provides a Java applet that allows the attacker to browse the directories.","2000-03-11","2008-09-10","CWE-NVD-Other","(AV:N/AC:L/Au:N/C:P/I:P/A:N)","NETWORK","LOW","NONE","PARTIAL","PARTIAL","NONE",6.4,"MEDIUM",10.0,4.9,0,0,0,0
